ID,Data_Lancamento,Data_Caixa_Base,Tipo,Categoria,Subcategoria,Centro_Custo,Contraparte,Descricao,Metodo,Status,Valor,Valor_Sinal,AnoMes,Prazo_Dias
872,2024-01-31,2024-01-31,Saida,Pagamentos,Marketing,Marketing,Plataformas de Ads,Campanhas de marketing,Cartão,Pago,12755.64,-12755.64,2024-01,0
882,2024-02-01,2024-02-01,Saida,Pagamentos,Aluguel,Administrativo,Fornecedores/Órgãos,Pagamento: Aluguel,Boleto,Pago,41572.85,-41572.85,2024-02,0
34,2024-02-02,2024-03-15,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,22154.17,22154.17,2024-03,42
881,2024-02-05,2024-02-05,Saida,Pagamentos,Salários e encargos,Administrativo,Fornecedores/Órgãos,Pagamento: Salários e encargos,Transferência,Pago,226546.02,-226546.02,2024-02,0
890,2024-02-05,2024-02-22,Saida,Pagamentos,Fornecedores,Operações,Fornecedores,Pagamento a fornecedores,Boleto,Pago,11824.05,-11824.05,2024-02,17
24,2024-02-06,2024-02-25,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,26879.38,26879.38,2024-02,19
30,2024-02-06,2024-03-24,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,25370.88,25370.88,2024-03,47
25,2024-02-07,2024-02-27,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,34464.1,34464.1,2024-02,20
884,2024-02-07,2024-02-07,Saida,Pagamentos,Marketing,Marketing,Plataformas de Ads,Campanhas de marketing,Cartão,Pago,15184.53,-15184.53,2024-02,0
895,2024-02-07,2024-02-27,Saida,Pagamentos,Fornecedores,Operações,Fornecedores,Pagamento a fornecedores,Boleto,Pago,32929.98,-32929.98,2024-02,20
38,2024-02-08,2024-03-11,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,51242.99,51242.99,2024-03,32
892,2024-02-08,2024-02-28,Saida,Pagamentos,Fornecedores,Operações,Fornecedores,Pagamento a fornecedores,Boleto,Pago,16207.39,-16207.39,2024-02,20
26,2024-02-09,2024-03-12,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,66038.31,66038.31,2024-03,32
32,2024-02-09,2024-03-09,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,19488.31,19488.31,2024-03,29
888,2024-02-12,2024-02-12,Saida,Pagamentos,Cloud/SaaS,Administrativo,Fornecedores/Órgãos,Pagamento: Cloud/SaaS,Cartão,Pago,21929.85,-21929.85,2024-02,0
35,2024-02-14,2024-03-18,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,74048.16,74048.16,2024-03,33
885,2024-02-14,2024-02-14,Saida,Pagamentos,Marketing,Marketing,Plataformas de Ads,Campanhas de marketing,Cartão,Pago,8230.73,-8230.73,2024-02,0
891,2024-02-14,2024-03-11,Saida,Pagamentos,Fornecedores,Operações,Fornecedores,Pagamento a fornecedores,Boleto,Pago,17654.17,-17654.17,2024-03,26
29,2024-02-15,2024-03-17,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,19472.25,19472.25,2024-03,31
42,2024-02-15,2024-02-22,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,25743.31,25743.31,2024-02,7
39,2024-02-16,2024-03-23,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,17826.3,17826.3,2024-03,36
40,2024-02-16,2024-05-03,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,28735.75,28735.75,2024-05,77
27,2024-02-19,2024-04-11,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,36683.47,36683.47,2024-04,52
31,2024-02-19,2024-03-10,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,31557.12,31557.12,2024-03,20
36,2024-02-19,2024-03-23,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,28678.53,28678.53,2024-03,33
883,2024-02-20,2024-02-20,Saida,Pagamentos,Tributos,Administrativo,Fornecedores/Órgãos,Pagamento: Tributos,DARF,Pago,67422.18,-67422.18,2024-02,0
28,2024-02-21,2024-03-23,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,71217.44,71217.44,2024-03,31
886,2024-02-21,2024-02-21,Saida,Pagamentos,Marketing,Marketing,Plataformas de Ads,Campanhas de marketing,Cartão,Pago,10462.87,-10462.87,2024-02,0
889,2024-02-22,2024-03-09,Saida,Pagamentos,Fornecedores,Operações,Fornecedores,Pagamento a fornecedores,Boleto,Pago,10250.43,-10250.43,2024-03,16
893,2024-02-26,2024-04-18,Saida,Pagamentos,Fornecedores,Operações,Fornecedores,Pagamento a fornecedores,Boleto,Pago,35076.15,-35076.15,2024-04,52
894,2024-02-26,2024-03-14,Saida,Pagamentos,Fornecedores,Operações,Fornecedores,Pagamento a fornecedores,Boleto,Pago,12387.18,-12387.18,2024-03,17
33,2024-02-27,2024-03-24,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,250130.59,250130.59,2024-03,26
41,2024-02-28,2024-03-31,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,39169.62,39169.62,2024-03,32
887,2024-02-28,2024-02-28,Saida,Pagamentos,Marketing,Marketing,Plataformas de Ads,Campanhas de marketing,Cartão,Pago,7518.67,-7518.67,2024-02,0
37,2024-02-29,2024-04-04,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,31422.13,31422.13,2024-04,35
896,2024-02-29,2024-03-25,Saida,Pagamentos,Fornecedores,Operações,Fornecedores,Pagamento a fornecedores,Boleto,Pago,24330.17,-24330.17,2024-03,25
51,2024-03-01,2024-03-26,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,19633.76,19633.76,2024-03,25
64,2024-03-01,2024-04-28,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,25233.62,25233.62,2024-04,58
898,2024-03-01,2024-03-01,Saida,Pagamentos,Aluguel,Administrativo,Fornecedores/Órgãos,Pagamento: Aluguel,Boleto,Pago,40939.66,-40939.66,2024-03,0
50,2024-03-04,2024-03-12,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,12161.29,12161.29,2024-03,8
907,2024-03-04,2024-04-10,Saida,Pagamentos,Fornecedores,Operações,Fornecedores,Pagamento a fornecedores,Boleto,Pago,6638.87,-6638.87,2024-04,37
44,2024-03-05,2024-04-05,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,38159.6,38159.6,2024-04,31
58,2024-03-05,2024-03-21,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,6348.69,6348.69,2024-03,16
62,2024-03-05,2024-03-18,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,8013.98,8013.98,2024-03,13
897,2024-03-05,2024-03-05,Saida,Pagamentos,Salários e encargos,Administrativo,Fornecedores/Órgãos,Pagamento: Salários e encargos,Transferência,Pago,254588.61,-254588.61,2024-03,0
900,2024-03-06,2024-03-06,Saida,Pagamentos,Marketing,Marketing,Plataformas de Ads,Campanhas de marketing,Cartão,Pago,18961.69,-18961.69,2024-03,0
54,2024-03-07,2024-04-01,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,10101.32,10101.32,2024-04,25
55,2024-03-07,2024-04-10,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,33132.1,33132.1,2024-04,34
45,2024-03-11,2024-06-05,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,6490.13,6490.13,2024-06,86
68,2024-03-12,2024-04-14,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,8793.83,8793.83,2024-04,33
904,2024-03-12,2024-03-12,Saida,Pagamentos,Cloud/SaaS,Administrativo,Fornecedores/Órgãos,Pagamento: Cloud/SaaS,Cartão,Pago,22827.43,-22827.43,2024-03,0
56,2024-03-13,2024-03-30,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,34995.28,34995.28,2024-03,17
57,2024-03-13,2024-03-30,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,25305.86,25305.86,2024-03,17
901,2024-03-13,2024-03-13,Saida,Pagamentos,Marketing,Marketing,Plataformas de Ads,Campanhas de marketing,Cartão,Pago,16067.34,-16067.34,2024-03,0
915,2024-03-13,2024-03-20,Saida,Pagamentos,Fornecedores,Operações,Fornecedores,Pagamento a fornecedores,Boleto,Pago,15191.7,-15191.7,2024-03,7
43,2024-03-14,2024-04-19,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,29136.56,29136.56,2024-04,36
911,2024-03-14,2024-03-30,Saida,Pagamentos,Fornecedores,Operações,Fornecedores,Pagamento a fornecedores,Boleto,Pago,4819.9,-4819.9,2024-03,16
913,2024-03-14,2024-03-24,Saida,Pagamentos,Fornecedores,Operações,Fornecedores,Pagamento a fornecedores,Boleto,Pago,9321.78,-9321.78,2024-03,10
66,2024-03-15,2024-04-05,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,33230.3,33230.3,2024-04,21
1518,2024-03-15,2024-03-15,Entrada,Financiamentos,Empréstimo,Financeiro,Banco,Entrada de empréstimo,TED,Pago,600000.0,600000.0,2024-03,0
53,2024-03-18,2024-03-25,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,14919.2,14919.2,2024-03,7
908,2024-03-19,2024-04-06,Saida,Pagamentos,Fornecedores,Operações,Fornecedores,Pagamento a fornecedores,Boleto,Pago,8731.57,-8731.57,2024-04,18
899,2024-03-20,2024-03-20,Saida,Pagamentos,Tributos,Administrativo,Fornecedores/Órgãos,Pagamento: Tributos,DARF,Pago,85266.67,-85266.67,2024-03,0
902,2024-03-20,2024-03-20,Saida,Pagamentos,Marketing,Marketing,Plataformas de Ads,Campanhas de marketing,Cartão,Pago,7066.27,-7066.27,2024-03,0
912,2024-03-20,2024-04-01,Saida,Pagamentos,Fornecedores,Operações,Fornecedores,Pagamento a fornecedores,Boleto,Pago,8496.41,-8496.41,2024-04,12
914,2024-03-20,2024-03-31,Saida,Pagamentos,Fornecedores,Operações,Fornecedores,Pagamento a fornecedores,Boleto,Pago,12860.34,-12860.34,2024-03,11
905,2024-03-21,2024-03-31,Saida,Pagamentos,Fornecedores,Operações,Fornecedores,Pagamento a fornecedores,Boleto,Pago,8108.78,-8108.78,2024-03,10
910,2024-03-21,2024-04-10,Saida,Pagamentos,Fornecedores,Operações,Fornecedores,Pagamento a fornecedores,Boleto,Pago,5037.98,-5037.98,2024-04,20
46,2024-03-22,2024-04-22,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,39699.7,39699.7,2024-04,31
47,2024-03-22,2024-04-25,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,10901.89,10901.89,2024-04,34
52,2024-03-22,2024-04-14,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,15645.31,15645.31,2024-04,23
60,2024-03-22,2024-05-06,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,21506.38,21506.38,2024-05,45
61,2024-03-22,2024-05-10,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,27219.41,27219.41,2024-05,49
909,2024-03-22,2024-04-05,Saida,Pagamentos,Fornecedores,Operações,Fornecedores,Pagamento a fornecedores,Boleto,Pago,11495.37,-11495.37,2024-04,14
49,2024-03-25,2024-04-28,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,3499.05,3499.05,2024-04,34
67,2024-03-25,2024-05-11,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,42964.41,42964.41,2024-05,47
59,2024-03-27,2024-04-28,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,77028.23,77028.23,2024-04,32
903,2024-03-27,2024-03-27,Saida,Pagamentos,Marketing,Marketing,Plataformas de Ads,Campanhas de marketing,Cartão,Pago,12521.37,-12521.37,2024-03,0
48,2024-03-28,2024-04-21,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,10214.42,10214.42,2024-04,24
63,2024-03-28,2024-04-19,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,19556.33,19556.33,2024-04,22
65,2024-03-28,2024-05-13,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,18094.82,18094.82,2024-05,46
906,2024-03-28,2024-04-09,Saida,Pagamentos,Fornecedores,Operações,Fornecedores,Pagamento a fornecedores,Boleto,Pago,14817.29,-14817.29,2024-04,12
917,2024-04-01,2024-04-01,Saida,Pagamentos,Aluguel,Administrativo,Fornecedores/Órgãos,Pagamento: Aluguel,Boleto,Pago,43262.26,-43262.26,2024-04,0
930,2024-04-02,2024-05-02,Saida,Pagamentos,Fornecedores,Operações,Fornecedores,Pagamento a fornecedores,Boleto,Pago,24872.07,-24872.07,2024-05,30
78,2024-04-03,2024-05-06,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,121532.26,121532.26,2024-05,33
919,2024-04-03,2024-04-03,Saida,Pagamentos,Marketing,Marketing,Plataformas de Ads,Campanhas de marketing,Cartão,Pago,14736.79,-14736.79,2024-04,0
73,2024-04-04,2024-05-06,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,29488.84,29488.84,2024-05,32
929,2024-04-04,2024-04-28,Saida,Pagamentos,Fornecedores,Operações,Fornecedores,Pagamento a fornecedores,Boleto,Pago,13039.3,-13039.3,2024-04,24
71,2024-04-05,2024-05-08,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,25335.99,25335.99,2024-05,33
88,2024-04-05,2024-05-21,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,8998.15,8998.15,2024-05,46
916,2024-04-05,2024-04-05,Saida,Pagamentos,Salários e encargos,Administrativo,Fornecedores/Órgãos,Pagamento: Salários e encargos,Transferência,Pago,261433.27,-261433.27,2024-04,0
925,2024-04-05,2024-04-29,Saida,Pagamentos,Fornecedores,Operações,Fornecedores,Pagamento a fornecedores,Boleto,Pago,23438.09,-23438.09,2024-04,24
74,2024-04-08,2024-05-17,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,52056.04,52056.04,2024-05,39
928,2024-04-08,2024-05-05,Saida,Pagamentos,Fornecedores,Operações,Fornecedores,Pagamento a fornecedores,Boleto,Pago,12920.54,-12920.54,2024-05,27
72,2024-04-09,2024-05-26,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,34730.45,34730.45,2024-05,47
79,2024-04-10,2024-05-18,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,19702.29,19702.29,2024-05,38
920,2024-04-10,2024-04-10,Saida,Pagamentos,Marketing,Marketing,Plataformas de Ads,Campanhas de marketing,Cartão,Pago,15294.7,-15294.7,2024-04,0
84,2024-04-12,2024-05-09,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,19377.9,19377.9,2024-05,27
923,2024-04-12,2024-04-12,Saida,Pagamentos,Cloud/SaaS,Administrativo,Fornecedores/Órgãos,Pagamento: Cloud/SaaS,Cartão,Pago,22169.57,-22169.57,2024-04,0
1519,2024-04-15,2024-04-15,Saida,Financiamentos,Parcela de empréstimo,Financeiro,Banco,Parcela de empréstimo (amortização+juros),Débito automático,Pago,22790.3,-22790.3,2024-04,0
69,2024-04-16,2024-05-15,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,29132.82,29132.82,2024-05,29
70,2024-04-16,2024-06-22,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,19632.63,19632.63,2024-06,67
75,2024-04-17,2024-05-20,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,26093.41,26093.41,2024-05,33
82,2024-04-17,2024-05-03,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,36258.65,36258.65,2024-05,16
921,2024-04-17,2024-04-17,Saida,Pagamentos,Marketing,Marketing,Plataformas de Ads,Campanhas de marketing,Cartão,Pago,20401.56,-20401.56,2024-04,0
77,2024-04-19,2024-05-14,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,37186.02,37186.02,2024-05,25
918,2024-04-20,2024-04-20,Saida,Pagamentos,Tributos,Administrativo,Fornecedores/Órgãos,Pagamento: Tributos,DARF,Pago,79435.44,-79435.44,2024-04,0
81,2024-04-22,2024-05-07,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,15535.88,15535.88,2024-05,15
932,2024-04-22,2024-05-05,Saida,Pagamentos,Fornecedores,Operações,Fornecedores,Pagamento a fornecedores,Boleto,Pago,5971.66,-5971.66,2024-05,13
86,2024-04-23,2024-05-25,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,45296.68,45296.68,2024-05,32
83,2024-04-24,2024-06-06,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,25781.68,25781.68,2024-06,43
922,2024-04-24,2024-04-24,Saida,Pagamentos,Marketing,Marketing,Plataformas de Ads,Campanhas de marketing,Cartão,Pago,9934.09,-9934.09,2024-04,0
933,2024-04-24,2024-05-16,Saida,Pagamentos,Fornecedores,Operações,Fornecedores,Pagamento a fornecedores,Boleto,Pago,27650.48,-27650.48,2024-05,22
85,2024-04-25,2024-05-05,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,48074.47,48074.47,2024-05,10
87,2024-04-25,2024-05-22,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,23678.01,23678.01,2024-05,27
76,2024-04-26,2024-05-26,Entrada,Recebimentos,Vendas/Serviços,Comercial,Clientes,Recebimento de vendas/serviços,PIX/Transferência,Pago,27953.04,27953.04,2024-05,30
